incidnt_num,day_of_week,cleaned_date,day_and_date,,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,"SELECT incidnt_num,"
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,"       day_of_week,"
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,"       LEFT(date, 10) AS cleaned_date,"
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,"       CONCAT(day_of_week, ', ', LEFT(date, 10)) AS day_and_date"
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,  FROM tutorial.sf_crime_incidents_2014_01
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.46E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
1.40E+08,Friday,01/31/2014,"Friday, 01/31/2014",,,,
