year,year_rank,group_name,artist,song_name,id,,,,
1956,1,Elvis Presley,Elvis Presley,Heartbreak Hotel,1,,,,SELECT *
1956,2,Elvis Presley,Elvis Presley,Don't Be Cruel,2,,,,  FROM tutorial.billboard_top_100_year_end
1956,3,Nelson Riddle,Nelson Riddle,Lisbon Antigua,3,,,," WHERE year_rank IN (1, 2, 3)"
1957,1,Elvis Presley,Elvis Presley,All Shook Up,104,,,,
1957,2,Pat Boone,Pat Boone,Love Letters In The Sand,105,,,,
1957,3,Diamonds,Diamonds,Little Darlin',106,,,,
1958,1,Domenico Modugno,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),204,,,,
1958,2,Everly Brothers,Everly Brothers,All I Have To Do Is Dream / Claudette,205,,,,
1958,3,Elvis Presley,Elvis Presley,Don't / I Beg Of You,206,,,,
1959,1,Johnny Horton,Johnny Horton,The Battle Of New Orleans,305,,,,
1959,2,Bobby Darin,Bobby Darin,Mack The Knife,306,,,,
1959,3,Lloyd Price,Lloyd Price,Personality,307,,,,
1960,1,Percy Faith,Percy Faith,"Theme From ""A Summer Place""",407,,,,
1960,2,Jim Reeves,Jim Reeves,He'll Have To Go,408,,,,
1960,3,Everly Brothers,Everly Brothers,Cathy's Clown,409,,,,
1961,1,Bobby Lewis,Bobby Lewis,Tossin' And Turnin',509,,,,
1961,2,Patsy Cline,Patsy Cline,I Fall To Pieces,510,,,,
1961,3,Highwaymen,Highwaymen,Michael,511,,,,
1962,1,Mr. Acker Bilk,Mr. Acker Bilk,Stranger On The Shore,609,,,,
1962,2,Ray Charles,Ray Charles,I Can't Stop Loving You,610,,,,
1962,3,Dee Dee Sharp,Dee Dee Sharp,Mashed Potato Time,611,,,,
1963,1,Jimmy Gilmer and The Fireballs,Jimmy Gilmer and The Fireballs,Sugar Shack,709,,,,
1963,2,Beach Boys,Beach Boys,Surfin' U.S.A.,710,,,,
1963,3,Skeeter Davis,Skeeter Davis,The End Of The World,711,,,,
1964,1,Beatles,Beatles,I Want To Hold Your Hand,810,,,,
1964,2,Beatles,Beatles,She Loves You,811,,,,
1964,3,Louis Armstrong,Louis Armstrong,"Hello, Dolly!",812,,,,
1965,1,Sam The Sham and The Pharaohs,Sam The Sham and The Pharaohs,Wooly Bully,912,,,,
1965,2,Four Tops,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),913,,,,
1965,3,Rolling Stones,Rolling Stones,(I Can't Get No) Satisfaction,914,,,,
1966,1,Sgt. Barry Sadler,Sgt. Barry Sadler,The Ballad Of The Green Berets,1012,,,,
1966,2,Association,Association,Cherish,1013,,,,
1966,3,Righteous Brothers,Righteous Brothers,(You're My) Soul And Inspiration,1014,,,,
1967,1,Lulu,Lulu,To Sir With Love,1112,,,,
1967,2,Box Tops,Box Tops,The Letter,1113,,,,
1967,3,Bobby Gentry,Bobby Gentry,Ode To Billie Joe,1114,,,,
1968,1,Beatles,Beatles,Hey Jude,1215,,,,
1968,2,Paul Mauriat,Paul Mauriat,Love Is Blue,1216,,,,
1968,3,Bobby Goldsboro,Bobby Goldsboro,Honey,1217,,,,
1969,1,Archies,Archies,"Sugar, Sugar",1318,,,,
1969,2,Fifth Dimension,Fifth Dimension,Aquarius / Let The Sunshine In,1319,,,,
1969,3,Temptations,Temptations,I Can't Get Next To You,1320,,,,
1970,1,Simon and Garfunkel,Simon and Garfunkel,Bridge Over Troubled Water,1418,,,,
1970,2,Carpenters,Carpenters,(They Long To Be) Close To You,1419,,,,
1970,3,Guess Who,Guess Who,American Woman / No Sugar Tonight,1420,,,,
1971,1,Three Dog Night,Three Dog Night,Joy To The World,1518,,,,
1971,2,Rod Stewart,Rod Stewart,Maggie May / (Find A) Reason To Believe,1519,,,,
1971,3,Carole King,Carole King,It's Too Late / I Feel The Earth Move,1520,,,,
1972,1,Roberta Flack,Roberta Flack,The First Time Ever I Saw Your Face,1618,,,,
1972,2,Gilbert O'Sullivan,Gilbert O'Sullivan,Alone Again (Naturally),1619,,,,
1972,3,Don McLean,Don McLean,American Pie,1620,,,,
1973,1,Tony Orlando and Dawn,Tony Orlando and Dawn,Tie A Yellow Ribbon 'Round The Ole Oak Tree,1720,,,,
1973,2,Jim Croce,Jim Croce,Bad Bad Leroy Brown,1721,,,,
1973,3,Roberta Flack,Roberta Flack,Killing Me Softly With His Song,1722,,,,
1974,1,Barbra Streisand,Barbra Streisand,The Way We Were,1823,,,,
1974,2,Terry Jacks,Terry Jacks,Seasons In The Sun,1824,,,,
1974,3,Love Unlimited Orchestra,Love Unlimited Orchestra,Love's Theme,1825,,,,
1975,1,Captain and Tennille,Captain and Tennille,Love Will Keep Us Together,1927,,,,
1975,2,Glen Campbell,Glen Campbell,Rhinestone Cowboy,1928,,,,
1975,3,Elton John,Elton John,Philadelphia Freedom,1929,,,,
1976,1,Wings,Wings,Silly Love Songs,2029,,,,
1976,2,Elton John and Kiki Dee,Elton John,Don't Go Breaking My Heart,2030,,,,
1976,2,Elton John and Kiki Dee,Kiki Dee,Don't Go Breaking My Heart,2031,,,,
1976,3,Johnnie Taylor,Johnnie Taylor,Disco Lady,2032,,,,
1977,1,Rod Stewart,Rod Stewart,Tonight's The Night (Gonna Be Alright),2133,,,,
1977,2,Andy Gibb,Andy Gibb,I Just Want To Be Your Everything,2134,,,,
1977,3,Emotions,Emotions,Best Of My Love,2135,,,,
1978,1,Andy Gibb,Andy Gibb,Shadow Dancing,2235,,,,
1978,2,Bee Gees,Bee Gees,Night Fever,2236,,,,
1978,3,Debby Boone,Debby Boone,You Light Up My Life,2237,,,,
1979,1,Knack,Knack,My Sharona,2339,,,,
1979,2,Donna Summer,Donna Summer,Bad Girls,2340,,,,
1979,3,Chic,Chic,Le Freak,2341,,,,
1980,1,Blondie,Blondie,Call Me,2442,,,,
1980,2,Pink Floyd,Pink Floyd,Another Brick In The Wall,2443,,,,
1980,3,Olivia Newton-John,Olivia Newton-John,Magic,2444,,,,
1981,1,Kim Carnes,Kim Carnes,Bette Davis Eyes,2546,,,,
1981,2,Diana Ross and Lionel Richie,Diana Ross,Endless Love,2547,,,,
1981,2,Diana Ross and Lionel Richie,Lionel Richie,Endless Love,2548,,,,
1981,3,Kenny Rogers,Kenny Rogers,Lady,2549,,,,
1982,1,Olivia Newton-John,Olivia Newton-John,Physical,2656,,,,
1982,2,Survivor,Survivor,Eye Of The Tiger,2657,,,,
1982,3,Joan Jett and The Blackhearts,Joan Jett and The Blackhearts,I Love Rock N' Roll,2658,,,,
1983,1,Police,Police,Every Breath You Take,2761,,,,
1983,2,Michael Jackson,Michael Jackson,Billie Jean,2762,,,,
1983,3,Irene Cara,Irene Cara,Flashdance... What A Feeling,2763,,,,
1984,1,Prince,Prince,When Doves Cry,2870,,,,
1984,2,Tina Turner,Tina Turner,What's Love Got To Do With It,2871,,,,
1984,3,Paul McCartney and Michael Jackson,Paul McCartney,Say Say Say,2872,,,,
1984,3,Paul McCartney and Michael Jackson,Michael Jackson,Say Say Say,2873,,,,
1985,1,Wham!,Wham!,Careless Whisper,2977,,,,
1985,2,Madonna,Madonna,Like A Virgin,2978,,,,
1985,3,Wham!,Wham!,Wake Me Up Before You Go-Go,2979,,,,
1986,1,Dionne and Friends,Dionne and Friends,That's What Friends Are For,3081,,,,
1986,2,Lionel Richie,Lionel Richie,"Say You, Say Me",3082,,,,
1986,3,Klymaxx,Klymaxx,I Miss You,3083,,,,
1987,1,Bangles,Bangles,Walk Like An Egyptian,3184,,,,
1987,2,Heart,Heart,Alone,3185,,,,
1987,3,Gregory Abbott,Gregory Abbott,Shake You Down,3186,,,,
1988,1,George Michael,George Michael,Faith,3290,,,,
