year,month,west,,,
1968,1,17,,,"select year, month, west from tutorial.us_housing_units"
1968,2,18.6,,,
1968,3,17.4,,,
1968,4,20.6,,,
1968,5,20,,,
1968,6,23.2,,,
1968,7,21.2,,,
1968,8,23.1,,,
1968,9,22,,,
1968,10,23,,,
1968,11,18.4,,,
1968,12,21.6,,,
1969,1,19.7,,,
1969,2,23,,,
1969,3,21.1,,,
1969,4,20.9,,,
1969,5,22.8,,,
1969,6,23.5,,,
1969,7,25.4,,,
1969,8,22.3,,,
1969,9,24.5,,,
1969,10,28.4,,,
1969,11,26.4,,,
1969,12,23.4,,,
1970,1,25.2,,,
1970,2,24.5,,,
1970,3,25,,,
1970,4,24.4,,,
1970,5,22.9,,,
1970,6,25.8,,,
1970,7,28.5,,,
1970,8,28.8,,,
1970,9,31.2,,,
1970,10,25.7,,,
1970,11,25.7,,,
1970,12,27.8,,,
1971,1,22.3,,,
1971,2,24.1,,,
1971,3,28.8,,,
1971,4,32.3,,,
1971,5,30.3,,,
1971,6,30.8,,,
1971,7,36.7,,,
1971,8,43.1,,,
1971,9,38.2,,,
1971,10,43.5,,,
1971,11,34.2,,,
1971,12,40.9,,,
1972,1,32.8,,,
1972,2,35.8,,,
1972,3,34.1,,,
1972,4,34.6,,,
1972,5,39.4,,,
1972,6,41.1,,,
1972,7,34.9,,,
1972,8,42.9,,,
1972,9,46,,,
1972,10,43.6,,,
1972,11,36.6,,,
1972,12,40.6,,,
1973,1,33.7,,,
1973,2,34.6,,,
1973,3,42.9,,,
1973,4,36.2,,,
1973,5,39.5,,,
1973,6,40.1,,,
1973,7,39.5,,,
1973,8,35.9,,,
1973,9,44.8,,,
1973,10,40,,,
1973,11,33.6,,,
1973,12,37.7,,,
1974,1,28.7,,,
1974,2,28.7,,,
1974,3,26.7,,,
1974,4,26.5,,,
1974,5,31.7,,,
1974,6,31.3,,,
1974,7,28.1,,,
1974,8,32.9,,,
1974,9,32.5,,,
1974,10,30,,,
1974,11,31.5,,,
1974,12,34.7,,,
1975,1,21.7,,,
1975,2,21.1,,,
1975,3,20,,,
1975,4,19.8,,,
1975,5,21.5,,,
1975,6,21.7,,,
1975,7,22,,,
1975,8,28.6,,,
1975,9,26.8,,,
1975,10,26.8,,,
1975,11,29.5,,,
1975,12,27.3,,,
1976,1,22.4,,,
1976,2,22,,,
1976,3,23.4,,,
1976,4,25.6,,,
