year,year_rank,group_name,artist,song_name,id,,,,
1956,5,Gogi Grant,Gogi Grant,The Wayward Wind,5,,,,
1957,5,Jimmy Dorsey,Jimmy Dorsey,So Rare,108,,,,SELECT *
1958,5,Perez Prado,Perez Prado,Patricia,208,,,,  FROM tutorial.billboard_top_100_year_end
1959,5,Paul Anka,Paul Anka,Lonely Boy,309,,,, WHERE year_rank = 5 OR artist = 'Gotye'
1960,5,Mark Dinning,Mark Dinning,Teen Angel,411,,,,
1961,5,Del Shannon,Del Shannon,Runaway,513,,,,
1962,5,David Rose,David Rose,The Stripper,613,,,,
1963,5,Chiffons,Chiffons,He's So Fine,713,,,,
1964,5,Beach Boys,Beach Boys,I Get Around,814,,,,
1965,5,Righteous Brothers,Righteous Brothers,You've Lost That Lovin' Feelin',916,,,,
1966,5,? and The Mysterians,? and The Mysterians,96 Tears,1016,,,,
1967,5,Monkees,Monkees,I'm A Believer,1116,,,,
1968,5,Rascals,Rascals,People Got To Be Free,1219,,,,
1969,5,Sly and The Family Stone,Sly and The Family Stone,Everyday People,1322,,,,
1970,5,Edwin Starr,Edwin Starr,War,1422,,,,
1971,5,Bee Gees,Bee Gees,How Can You Mend A Broken Heart,1522,,,,
1972,5,Sammy Davis Jr.,Sammy Davis Jr.,Candy Man,1622,,,,
1973,5,Paul McCartney and Wings,Paul McCartney,My Love,1724,,,,
1973,5,Paul McCartney and Wings,Wings,My Love,1725,,,,
1974,5,Jackson 5,Jackson 5,Dancing Machine,1827,,,,
1975,5,Frankie Valli,Frankie Valli,My Eyes Adored You,1931,,,,
1976,5,Wild Cherry,Wild Cherry,Play That Funky Music,2034,,,,
1977,5,Hot,Hot,Angel In Your Arms,2137,,,,
1978,5,Exile,Exile,Kiss You All Over,2239,,,,
1979,5,Peaches and Herb,Peaches and Herb,Reunited,2343,,,,
1980,5,Captain and Tennille,Captain and Tennille,Do That To Me One More Time,2446,,,,
1981,5,Rick Springfield,Rick Springfield,Jessie's Girl,2551,,,,
1982,5,J. Geils Band,J. Geils Band,Centerfold,2661,,,,
1983,5,Michael Jackson,Michael Jackson,Beat It,2765,,,,
1984,5,Phil Collins,Phil Collins,Against All Odds (Take A Look At Me Now),2875,,,,
1985,5,Chaka Khan,Chaka Khan,I Feel For You,2981,,,,
1986,5,Mr. Mister,Mr. Mister,Broken Wings,3086,,,,
1987,5,Starship,Starship,Nothing's Gonna Stop Us Now,3188,,,,
