year,year_rank,group_name,artist,song_name,id,,,,
2013,100,Paramore,Paramore,Still Into You,6476,,,,
2013,99,2 Chainz,2 Chainz,I'm Different,6475,,,,SELECT *
2013,98,Randy Houser,Randy Houser,Runnin' Outta Moonlight,6474,,,,  FROM tutorial.billboard_top_100_year_end
2013,97,Passenger,Passenger,Let Her Go,6473,,,, WHERE year = 2013
2013,96,Sara Bareilles,Sara Bareilles,Brave,6472,,,, ORDER BY year_rank DESC
2013,95,will.i.am feat. Justin Bieber,will.i.am,#thatPOWER,6470,,,,
2013,95,will.i.am feat. Justin Bieber,Justin Bieber,#thatPOWER,6471,,,,
2013,94,Florida Georgia Line,Florida Georgia Line,Get Your Shine On,6469,,,,
2013,93,Lady Antebellum,Lady Antebellum,Downtown,6468,,,,
2013,92,Hunter Hayes,Hunter Hayes,Wanted,6467,,,,
2013,91,Ace Hood feat. Future and Rick Ross,Ace Hood,Bugatti,6464,,,,
2013,91,Ace Hood feat. Future and Rick Ross,Rick Ross,Bugatti,6466,,,,
2013,91,Ace Hood feat. Future and Rick Ross,Future,Bugatti,6465,,,,
2013,90,Thomas Rhett,Thomas Rhett,It Goes Like This,6463,,,,
2013,89,Miranda Lambert,Miranda Lambert,Mama's Broken Heart,6462,,,,
2013,88,Emeli Sande,Emeli Sande,Next To Me,6461,,,,
2013,87,Rocko feat. Future and Rick Ross,Rocko,U.O.E.N.O.,6458,,,,
2013,87,Rocko feat. Future and Rick Ross,Rick Ross,U.O.E.N.O.,6460,,,,
2013,87,Rocko feat. Future and Rick Ross,Future,U.O.E.N.O.,6459,,,,
2013,86,Ne-Yo,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),6457,,,,
2013,85,The Script feat. will.i.am,will.i.am,Hall Of Fame,6456,,,,
2013,85,The Script feat. will.i.am,The Script,Hall Of Fame,6455,,,,
2013,84,Miguel,Miguel,Adorn,6454,,,,
2013,83,Ciara,Ciara,Body Party,6453,,,,
2013,82,Olly Murs feat. Flo Rida,Flo Rida,Troublemaker,6452,,,,
2013,82,Olly Murs feat. Flo Rida,Olly Murs,Troublemaker,6451,,,,
2013,81,Mariah Carey feat. Miguel,Miguel,#Beautiful,6450,,,,
2013,81,Mariah Carey feat. Miguel,Mariah Carey,#Beautiful,6449,,,,
2013,80,Blake Shelton,Blake Shelton,Sure Be Cool If You Did,6448,,,,
2013,79,Kendrick Lamar,Kendrick Lamar,Swimming Pools (Drank),6447,,,,
2013,78,Luke Bryan,Luke Bryan,That's My Kind Of Night,6446,,,,
2013,77,Tim McGraw with Taylor Swift,Tim McGraw with Taylor Swift,Highway Don't Care,6445,,,,
2013,76,fun.,fun.,Carry On,6444,,,,
2013,75,Ed Sheeran,Ed Sheeran,The A Team,6443,,,,
2013,74,One Direction,One Direction,Best Song Ever,6442,,,,
2013,73,Ylvis,Ylvis,The Fox,6441,,,,
2013,72,Hunter Hayes,Hunter Hayes,I Want Crazy,6440,,,,
2013,71,Taylor Swift,Taylor Swift,22,6439,,,,
2013,70,Rihanna,Rihanna,Pour It Up,6438,,,,
2013,69,Luke Bryan,Luke Bryan,Crash My Party,6437,,,,
2013,68,Kelly Clarkson,Kelly Clarkson,Catch My Breath,6436,,,,
2013,67,Eminem,Eminem,Berzerk,6435,,,,
