player_name,year,is_a_senior,,,
Ralph Abernathy,JR,no,,,
Mekale McKay,SO,no,,,"SELECT player_name,"
Trenier Orr,SO,no,,,"       year,"
Bennie Coney,FR,no,,,       CASE WHEN year = 'SR' THEN 'yes'
Johnny Holton,JR,no,,,            ELSE 'no' END AS is_a_senior
Howard Wilder,JR,no,,,  FROM benn.college_football_players
Munchie Legaux,SR,yes,,,
Mark Barr,FR,no,,,
Aaron Brown,FR,no,,,
Anthony McClung,SR,yes,,,
Tion Green,SO,no,,,
Mike Tyson,SR,yes,,,
Gunner Kiel,FR,no,,,
Adrian Witty,JR,no,,,
Patrick Coyne,SO,no,,,
Dionne Thrweatt-Vassar,SR,yes,,,
Jordan Luallen,SR,yes,,,
Deven Drane,SR,yes,,,
Brendon Kay,SR,yes,,,
Leviticus Payne,SO,no,,,
Grant Coleman,FR,no,,,
Tony Miliano,JR,no,,,
Chris Moore,SO,no,,,
Michael Colosimo,JR,no,,,
Jeremy Graves,SO,no,,,
Tyler Cogswell,FR,no,,,
Derek Cox,SR,yes,,,
Shaq Washington,SO,no,,,
Tshumbi Johnson,FR,no,,,
Rodriguez Moore,JR,no,,,
Zach Edwards,FR,no,,,
Hosey Williams,JR,no,,,
Eric Wilson,FR,no,,,
Chris Burrell,JR,no,,,
John Lloyd,JR,no,,,
Arryn Chenault,SR,yes,,,
Rob Rice,SR,yes,,,
Braxton Lane,FR,no,,,
Drake Bruns,FR,no,,,
Andre Jones,FR,no,,,
Darren Doston,JR,no,,,
Zach Higgenbotham,FR,no,,,
Solomon Tentman,JR,no,,,
Tim Helton,FR,no,,,
Dylan Coombs,FR,no,,,
Josh Russ,JR,no,,,
Marcus Foster,FR,no,,,
Lindsay Crook,FR,no,,,
Mason Antoun,SO,no,,,
EJ Junior,SR,yes,,,
Kyle Nutter,FR,no,,,
Kevin Brown,SO,no,,,
Kevin Hyland,SO,no,,,
Jared Golden,SO,no,,,
Nick Temple,JR,no,,,
Corey Mason,JR,no,,,
Ey'Shawn McClain,FR,no,,,
Mitch Meador,SR,yes,,,
Jon Vincent,SR,yes,,,
Jeff Luc,JR,no,,,
Anthony King,SR,yes,,,
Alex Pace,FR,no,,,
Greg Blair,SR,yes,,,
Elijah Shuler,SR,yes,,,
Franklin Bruscianelli,FR,no,,,
Andrew Gantz,FR,no,,,
Mark Wilson,FR,no,,,
Clemente Casseus,JR,no,,,
Sam Geraci,FR,no,,,
Dwight Jackson,JR,no,,,
Deyshawn Bond,FR,no,,,
Sam Longo,SR,yes,,,
Kirk Willis,SO,no,,,
Cory Keebler,JR,no,,,
Dan Sprague,SR,yes,,,
Will Steur,FR,no,,,
Tyreek Burwell,SR,yes,,,
Connor Donnini,SO,no,,,
David Niehaus,FR,no,,,
Kyle Williamson,FR,no,,,
Dominic Mainello,JR,no,,,
Brandon Mitchell,SO,no,,,
Eric Lefeld,JR,no,,,
Garrett Campbell,FR,no,,,
Ryan Leahy,FR,no,,,
Justin Murray,SO,no,,,
Kevin Schloemer,JR,no,,,
Austen Bujnoch,SR,yes,,,
Parker Ehinger,SO,no,,,
Andre Cureton,SR,yes,,,
Alex Chisum,JR,no,,,
DJ Dowdy,FR,no,,,
Max Morrison,SO,no,,,
Chris Burton,FR,no,,,
Nate Cole,FR,no,,,
Travis Johnson,FR,no,,,
Blake Annen,SR,yes,,,
Jacob Giltrow,SR,yes,,,
Javon Harrison,FR,no,,,
Shakim Alonzo,FR,no,,,
