year,month,month_high,,,,
2011,7,404.5,,,,
2011,9,422.86,,,,"SELECT year,"
2011,10,426.7,,,,"       month,"
2011,11,408,,,,       MAX(high) AS month_high
2011,12,409.09,,,,  FROM tutorial.aapl_historical_stock_price
2012,1,458.24,,,," GROUP BY year, month"
2012,2,547.61,,,,HAVING MAX(high) > 400
2012,3,621.45,,,," ORDER BY year, month"
2012,4,644,,,,
2012,5,596.76,,,,
2012,6,590,,,,
2012,7,619.87,,,,
2012,8,680.87,,,,
2012,9,705.07,,,,
2012,10,676.75,,,,
2012,11,603,,,,
2012,12,594.59,,,,
2013,1,555,,,,
2013,2,484.94,,,,
2013,3,469.95,,,,
2013,4,445.25,,,,
2013,5,465.75,,,,
2013,6,454.43,,,,
2013,7,457.34,,,,
2013,8,513.74,,,,
2013,9,507.92,,,,
2013,10,539.25,,,,
2013,11,558.33,,,,
2013,12,575.14,,,,
2014,1,560.2,,,,
