companies_permalink,companies_name,acquisitions_permalink,acquired_date,,,
/company/waywire,#waywire,/company/waywire,10/17/13,,,
/company/1000memories,1000memories,/company/1000memories,10/03/2012,,,"SELECT companies.permalink AS companies_permalink,"
/company/12society,12Society,/company/12society,07/03/2013,,,"       companies.name AS companies_name,"
/company/280-north,280 North,/company/280-north,07/01/2010,,,"       acquisitions.company_permalink AS acquisitions_permalink,"
/company/280-north,280 North,/company/280-north,07/01/2010,,,       acquisitions.acquired_at AS acquired_date
/company/2web-technologies,2Web Technologies,/company/2web-technologies,06/01/2006,,,  FROM tutorial.crunchbase_companies companies
/company/3leaf,3Leaf,/company/3leaf,2/19/11,,,  JOIN tutorial.crunchbase_acquisitions acquisitions
/company/3x-systems,3X Systems,/company/3x-systems,10/25/12,,,    ON companies.permalink = acquisitions.company_permalink
/company/4home,4Home,/company/4home,12/01/2010,,,
/company/5to1,5to1,/company/5to1,05/01/2011,,,
/company/60mo,60mo,/company/60mo,05/03/2012,,,
/company/six-waves,6Waves,/company/six-waves,7/18/11,,,
/company/8x8-inc,8x8 Inc,/company/8x8-inc,9/15/11,,,
/company/a-bit-lucky,A Bit Lucky,/company/a-bit-lucky,9/17/12,,,
/company/aboutme,about.me,/company/aboutme,12/20/10,,,
/company/aboutme,about.me,/company/aboutme,02/05/2013,,,
/company/accertify,Accertify,/company/accertify,11/01/2010,,,
/company/accumetrics,Accumetrics,/company/accumetrics,8/30/13,,,
/company/accuri-cytometers,Accuri Cytometers,/company/accuri-cytometers,3/18/11,,,
/company/ace-comm,ACE*COMM,/company/ace-comm,9/24/08,,,
/company/acopia-networks,Acopia Networks,/company/acopia-networks,08/06/2007,,,
/company/actacell,Actacell,/company/actacell,09/06/2012,,,
/company/actionengine,Action Engine,/company/actionengine,10/13/08,,,
/company/acton-pharmaceuticals,Acton Pharmaceuticals,/company/acton-pharmaceuticals,8/30/13,,,
/company/ad-infuse,Ad Infuse,/company/ad-infuse,05/12/2009,,,
/company/adap-tv,Adap.tv,/company/adap-tv,08/07/2013,,,
/company/adapt-technologies,Adapt Technologies,/company/adapt-technologies,11/20/08,,,
/company/adbrite,adBrite,/company/adbrite,6/20/13,,,
/company/adea,Adea,/company/adea,12/22/10,,,
/company/adecn,AdECN,/company/adecn,7/26/07,,,
/company/adiana,Adiana,/company/adiana,2/26/07,,,
/company/adku,Adku,/company/adku,02/03/2012,,,
/company/admeld,Admeld,/company/admeld,06/01/2011,,,
/company/admob,AdMob,/company/admob,11/09/2009,,,
/company/adnectar,AdNectar,/company/adnectar,06/01/2011,,,
/company/ador,ADOR,/company/ador,01/06/2014,,,
/company/adstack,AdStack,/company/adstack,9/30/13,,,
/company/advanced-in-vitro-cell-technologies,Advanced In Vitro Cell Technologies,/company/advanced-in-vitro-cell-technologies,07/11/2008,,,
/company/advanced-liquid-logic,Advanced Liquid Logic,/company/advanced-liquid-logic,7/24/13,,,
/company/advanced-mobile-solutions,Advanced Mobile Solutions,/company/advanced-mobile-solutions,9/30/13,,,
/company/advantage-networks,AdVantage Networks,/company/advantage-networks,07/12/2012,,,
/company/advasense,Advasense,/company/advasense,6/15/11,,,
/company/adwhirl,AdWhirl,/company/adwhirl,8/27/09,,,
/company/adxpose,AdXpose,/company/adxpose,08/03/2011,,,
/company/aea-technology,AEA Technology,/company/aea-technology,11/08/2012,,,
/company/aegis-analytical-corp,Aegis Analytical Corp.,/company/aegis-analytical-corp,10/23/12,,,
/company/aegis-lightwave,Aegis Lightwave,/company/aegis-lightwave,01/07/2013,,,
/company/aeluros,Aeluros,/company/aeluros,2/17/12,,,
/company/aepona,Aepona,/company/aepona,4/28/13,,,
/company/aeroscout,AeroScout,/company/aeroscout,06/05/2012,,,
/company/affinitylabs,Affinity Labs,/company/affinitylabs,01/04/2008,,,
/company/aggregateknowledge,Aggregate Knowledge,/company/aggregateknowledge,10/31/13,,,
/company/agistics,Agistics,/company/agistics,10/23/07,,,
/company/agito-networks,Agito Networks,/company/agito-networks,10/21/10,,,
/company/aha-mobile,Aha Mobile,/company/aha-mobile,9/15/10,,,
/company/ahura-scientific,Ahura Scientific,/company/ahura-scientific,1/19/10,,,
/company/airwatch,AirWatch,/company/airwatch,1/22/14,,,
/company/airwide-solutions,Airwide Solutions,/company/airwide-solutions,5/30/11,,,
/company/aitainment,aitainment,/company/aitainment,09/01/2010,,,
/company/akarx,AkaRx,/company/akarx,01/07/2010,,,
/company/akorri,Akorri Networks,/company/akorri,01/12/2011,,,
/company/aktino,Aktino,/company/aktino,05/12/2009,,,
/company/albeo-technologies,Albeo Technologies,/company/albeo-technologies,11/26/12,,,
/company/aldagen,Aldagen,/company/aldagen,02/09/2012,,,
/company/algonomics,Algonomics,/company/algonomics,11/02/2009,,,
/company/algorithmics,Algorithmics,/company/algorithmics,09/01/2011,,,
/company/alibaba,Alibaba,/company/alibaba,08/11/2005,,,
/company/allworx,Allworx,/company/allworx,11/01/2007,,,
/company/aloqa,Aloqa,/company/aloqa,9/16/10,,,
/company/alta-devices,Alta Devices,/company/alta-devices,12/04/2013,,,
/company/alterpoint,AlterPoint,/company/alterpoint,2/25/09,,,
/company/am-analytics,AM Analytics,/company/am-analytics,1/13/10,,,
/company/amalfi-semiconductor,Amalfi Semiconductor,/company/amalfi-semiconductor,11/05/2012,,,
/company/amber-networks,Amber Networks,/company/amber-networks,7/25/01,,,
/company/ambric,Ambric,/company/ambric,04/06/2009,,,
/company/amiando,amiando,/company/amiando,12/10/2010,,,
/company/amiestreet,Amie Street,/company/amiestreet,9/22/10,,,
/company/amorcyte,Amorcyte,/company/amorcyte,7/14/11,,,
/company/amplimmune,Amplimmune,/company/amplimmune,8/26/13,,,
/company/anacomp,Anacomp,/company/anacomp,12/22/09,,,
/company/andersonbrecon,AndersonBrecon,/company/andersonbrecon,5/13/13,,,
/company/nokeena,Ankeena Networks,/company/nokeena,04/08/2010,,,
/company/anobit-technologies,Anobit Technologies,/company/anobit-technologies,12/13/11,,,
/company/anomalous-networks,Anomalous Networks,/company/anomalous-networks,01/11/2012,,,
/company/antenna-software,Antenna Software,/company/antenna-software,10/11/2013,,,
/company/anysource-media,AnySource Media,/company/anysource-media,09/01/2009,,,
/company/anywhere-fm,Anywhere.FM,/company/anywhere-fm,1/28/08,,,
/company/aperio-technologies,Aperio Technologies,/company/aperio-technologies,8/21/12,,,
/company/apertio,Apertio,/company/apertio,01/03/2008,,,
/company/aperto-networks,Aperto Networks,/company/aperto-networks,3/31/10,,,
/company/apiphany,Apiphany,/company/apiphany,10/04/2013,,,
/company/appature-inc,Appature,/company/appature-inc,03/12/2013,,,
/company/appcentral-inc,"AppCentral, Inc.",/company/appcentral-inc,10/02/2012,,,
/company/appgate-network-security,AppGate Network Security,/company/appgate-network-security,12/18/09,,,
/company/apphero,AppHero,/company/apphero,12/02/2013,,,
/company/applabs,AppLabs,/company/applabs,9/14/11,,,
/company/applimation,Applimation,/company/applimation,2/13/09,,,
/company/appmakr,AppMakr,/company/appmakr,8/21/13,,,
/company/approva,Approva,/company/approva,09/01/2011,,,
/company/apptrigger,AppTrigger,/company/apptrigger,03/09/2010,,,
